user_id,conversation_id
8741,3038
7275,2879
7275,2880
7276,2880
7275,2882
7275,2883
7280,2884
7280,2885
7280,2886
7280,2887
7280,2889
7280,2890
6408,2790
6408,2791
6409,2791
6408,2792
6408,2793
6408,2794
6409,2794
6696,2819
6833,2834
6833,2835
6834,2835
6833,2836
6833,2837
6839,2839
6839,2840
6839,2841
6839,2842
6839,2844
6839,2845
6839,2846
6833,2847
6834,2847
6839,2848
6839,2850
6839,2851
7280,2891
6833,2852
7280,2892
7280,2894
6834,2852
6839,2853
7024,2857
7280,2895
7275,2896
7276,2896
7275,2897
7276,2897
7280,2898
7581,2915
7716,2924
7716,2925
7718,2925
7716,2927
7716,2928
7725,2929
7725,2930
7725,2931
7725,2932
7725,2934
7725,2935
7725,2936
7725,2937
7725,2939
7725,2940
7716,2941
7718,2941
7716,2942
6408,2795
6409,2795
7718,2942
8156,2975
8156,2976
8156,2977
6457,2797
6457,2798
6457,2799
6457,2800
8149,2978
6457,2802
6457,2803
8150,2978
6457,2804
6457,2805
6457,2807
6457,2808
6457,2809
7725,2943
7947,2949
8156,2979
8156,2981
8149,2970
8149,2971
8150,2971
8149,2972
8149,2973
8149,2982
8150,2982
8156,2983
8156,2984
8156,2985
8156,2987
8156,2988
8156,2989
8435,2999
8587,3015
8587,3016
8588,3016
8587,3017
8587,3018
8587,3020
8588,3020
8587,3021
8588,3021
8614,3022
8614,3023
8614,3024
8614,3025
8614,3028
8614,3029
8614,3030
8614,3031
8614,3033
8614,3034
8614,3035
