id,name,project_id,created_by,created_at
8235,test_table,6272,,Mon Apr 27 2026 08:59:37 GMT+0300 (Moscow Standard Time)
8352,Password Manager Data,6426,,Mon Apr 27 2026 09:00:20 GMT+0300 (Moscow Standard Time)
8353,Password Manager,6426,,Mon Apr 27 2026 09:00:20 GMT+0300 (Moscow Standard Time)
8354,My Tasks Data,6427,,Mon Apr 27 2026 09:00:20 GMT+0300 (Moscow Standard Time)
8503,Projects,6623,,Mon Apr 27 2026 09:00:33 GMT+0300 (Moscow Standard Time)
8506,Tables,6623,,Mon Apr 27 2026 09:00:33 GMT+0300 (Moscow Standard Time)
8508,Files,6623,,Mon Apr 27 2026 09:00:33 GMT+0300 (Moscow Standard Time)
8509,Variables,6623,,Mon Apr 27 2026 09:00:33 GMT+0300 (Moscow Standard Time)
8732,customers,6917,,Mon Apr 27 2026 09:01:37 GMT+0300 (Moscow Standard Time)
8735,clean_table_test,6917,,Mon Apr 27 2026 09:01:37 GMT+0300 (Moscow Standard Time)
8850,test_table,7077,,Mon Apr 27 2026 09:01:44 GMT+0300 (Moscow Standard Time)
8965,Password Manager Data,7226,,Mon Apr 27 2026 11:53:40 GMT+0300 (Moscow Standard Time)
8966,Password Manager,7226,,Mon Apr 27 2026 11:53:40 GMT+0300 (Moscow Standard Time)
8968,My Tasks Data,7228,,Mon Apr 27 2026 11:53:40 GMT+0300 (Moscow Standard Time)
9143,Projects,7457,,Mon Apr 27 2026 11:53:53 GMT+0300 (Moscow Standard Time)
9145,Tables,7457,,Mon Apr 27 2026 11:53:53 GMT+0300 (Moscow Standard Time)
9147,Files,7457,,Mon Apr 27 2026 11:53:53 GMT+0300 (Moscow Standard Time)
9149,Variables,7457,,Mon Apr 27 2026 11:53:53 GMT+0300 (Moscow Standard Time)
9210,Password Manager Data,7585,,Mon Apr 27 2026 11:54:28 GMT+0300 (Moscow Standard Time)
9332,Password Manager Data,7664,,Mon Apr 27 2026 11:54:38 GMT+0300 (Moscow Standard Time)
8094,Password Manager Data,6099,,Mon Apr 27 2026 08:59:30 GMT+0300 (Moscow Standard Time)
8095,Password Manager,6099,,Mon Apr 27 2026 08:59:30 GMT+0300 (Moscow Standard Time)
8096,My Tasks Data,6100,,Mon Apr 27 2026 08:59:30 GMT+0300 (Moscow Standard Time)
8236,test_table,6273,,Mon Apr 27 2026 08:59:37 GMT+0300 (Moscow Standard Time)
8355,Password Manager Data,6428,,Mon Apr 27 2026 09:00:20 GMT+0300 (Moscow Standard Time)
8356,Password Manager,6428,,Mon Apr 27 2026 09:00:20 GMT+0300 (Moscow Standard Time)
8357,My Tasks Data,6429,,Mon Apr 27 2026 09:00:20 GMT+0300 (Moscow Standard Time)
8496,Users,6616,,Mon Apr 27 2026 09:00:32 GMT+0300 (Moscow Standard Time)
8497,Roles,6616,,Mon Apr 27 2026 09:00:32 GMT+0300 (Moscow Standard Time)
8504,Password Manager Data,6624,,Mon Apr 27 2026 09:00:33 GMT+0300 (Moscow Standard Time)
8505,Password Manager,6624,,Mon Apr 27 2026 09:00:33 GMT+0300 (Moscow Standard Time)
8507,My Tasks Data,6625,,Mon Apr 27 2026 09:00:33 GMT+0300 (Moscow Standard Time)
8593,Password Manager Data,6781,,Mon Apr 27 2026 09:01:26 GMT+0300 (Moscow Standard Time)
8594,Password Manager,6781,,Mon Apr 27 2026 09:01:26 GMT+0300 (Moscow Standard Time)
8595,My Tasks Data,6782,,Mon Apr 27 2026 09:01:26 GMT+0300 (Moscow Standard Time)
8733,Password Manager Data,6918,,Mon Apr 27 2026 09:01:37 GMT+0300 (Moscow Standard Time)
8734,Password Manager,6918,,Mon Apr 27 2026 09:01:37 GMT+0300 (Moscow Standard Time)
8736,My Tasks Data,6919,,Mon Apr 27 2026 09:01:37 GMT+0300 (Moscow Standard Time)
9602,select_test_table,8041,,Mon Apr 27 2026 11:55:22 GMT+0300 (Moscow Standard Time)
8967,select_test_table,7227,,Mon Apr 27 2026 11:53:40 GMT+0300 (Moscow Standard Time)
8969,states_lookup,7227,,Mon Apr 27 2026 11:53:40 GMT+0300 (Moscow Standard Time)
9144,test_table,7459,,Mon Apr 27 2026 11:53:53 GMT+0300 (Moscow Standard Time)
9211,Password Manager,7585,,Mon Apr 27 2026 11:54:29 GMT+0300 (Moscow Standard Time)
9212,My Tasks Data,7586,,Mon Apr 27 2026 11:54:29 GMT+0300 (Moscow Standard Time)
9333,Password Manager,7664,,Mon Apr 27 2026 11:54:38 GMT+0300 (Moscow Standard Time)
9334,My Tasks Data,7665,,Mon Apr 27 2026 11:54:38 GMT+0300 (Moscow Standard Time)
9454,test_table,7850,,Mon Apr 27 2026 11:54:43 GMT+0300 (Moscow Standard Time)
9603,states_lookup,8041,,Mon Apr 27 2026 11:55:22 GMT+0300 (Moscow Standard Time)
9734,Variables,8246,,Mon Apr 27 2026 11:55:33 GMT+0300 (Moscow Standard Time)
8097,Password Manager Data,6101,,Mon Apr 27 2026 08:59:30 GMT+0300 (Moscow Standard Time)
8098,Password Manager,6101,,Mon Apr 27 2026 08:59:30 GMT+0300 (Moscow Standard Time)
8099,My Tasks Data,6102,,Mon Apr 27 2026 08:59:30 GMT+0300 (Moscow Standard Time)
8237,test_table,6274,,Mon Apr 27 2026 08:59:37 GMT+0300 (Moscow Standard Time)
9604,phase_test_table,8042,,Mon Apr 27 2026 11:55:22 GMT+0300 (Moscow Standard Time)
8510,Projects,6627,,Mon Apr 27 2026 09:00:33 GMT+0300 (Moscow Standard Time)
8513,Tables,6627,,Mon Apr 27 2026 09:00:33 GMT+0300 (Moscow Standard Time)
8515,Files,6627,,Mon Apr 27 2026 09:00:33 GMT+0300 (Moscow Standard Time)
8516,Variables,6627,,Mon Apr 27 2026 09:00:33 GMT+0300 (Moscow Standard Time)
8596,Password Manager Data,6784,,Mon Apr 27 2026 09:01:26 GMT+0300 (Moscow Standard Time)
8597,Password Manager,6784,,Mon Apr 27 2026 09:01:26 GMT+0300 (Moscow Standard Time)
8598,My Tasks Data,6785,,Mon Apr 27 2026 09:01:26 GMT+0300 (Moscow Standard Time)
8737,customers,6920,,Mon Apr 27 2026 09:01:37 GMT+0300 (Moscow Standard Time)
8738,orders,6920,,Mon Apr 27 2026 09:01:37 GMT+0300 (Moscow Standard Time)
8739,api_keys,6920,,Mon Apr 27 2026 09:01:37 GMT+0300 (Moscow Standard Time)
8851,AI Operators,7078,,Mon Apr 27 2026 09:01:44 GMT+0300 (Moscow Standard Time)
9735,test_table,8247,,Mon Apr 27 2026 11:55:33 GMT+0300 (Moscow Standard Time)
9146,test_table,7460,,Mon Apr 27 2026 11:53:53 GMT+0300 (Moscow Standard Time)
9335,Password Manager Data,7666,,Mon Apr 27 2026 11:54:38 GMT+0300 (Moscow Standard Time)
9337,Password Manager,7666,,Mon Apr 27 2026 11:54:38 GMT+0300 (Moscow Standard Time)
9340,My Tasks Data,7668,,Mon Apr 27 2026 11:54:38 GMT+0300 (Moscow Standard Time)
7969,Sensitive Table,5931,,Mon Apr 27 2026 08:59:18 GMT+0300 (Moscow Standard Time)
9605,phase_test_table,8043,,Mon Apr 27 2026 11:55:22 GMT+0300 (Moscow Standard Time)
8238,test_table,6275,,Mon Apr 27 2026 08:59:37 GMT+0300 (Moscow Standard Time)
8358,select_test_table,6430,,Mon Apr 27 2026 09:00:20 GMT+0300 (Moscow Standard Time)
8359,states_lookup,6430,,Mon Apr 27 2026 09:00:20 GMT+0300 (Moscow Standard Time)
8511,Password Manager Data,6628,,Mon Apr 27 2026 09:00:33 GMT+0300 (Moscow Standard Time)
8512,Password Manager,6628,,Mon Apr 27 2026 09:00:33 GMT+0300 (Moscow Standard Time)
8514,My Tasks Data,6630,,Mon Apr 27 2026 09:00:33 GMT+0300 (Moscow Standard Time)
9736,Projects,8248,,Mon Apr 27 2026 11:55:33 GMT+0300 (Moscow Standard Time)
8740,Password Manager Data,6922,,Mon Apr 27 2026 09:01:37 GMT+0300 (Moscow Standard Time)
8741,Password Manager,6922,,Mon Apr 27 2026 09:01:37 GMT+0300 (Moscow Standard Time)
8742,My Tasks Data,6923,,Mon Apr 27 2026 09:01:37 GMT+0300 (Moscow Standard Time)
8852,Variables,7079,,Mon Apr 27 2026 09:01:45 GMT+0300 (Moscow Standard Time)
