user_id,conversation_id
516,2134
516,2135
518,2135
516,2136
516,2137
516,2140
518,2140
516,2141
1439,2269
518,2141
710,2142
826,2163
826,2164
826,2165
826,2166
826,2168
826,2169
826,2170
826,2171
826,2172
826,2173
826,2174
912,2178
912,2179
913,2179
914,2180
914,2181
914,2182
914,2183
912,2185
912,2186
914,2187
914,2188
914,2189
914,2190
914,2191
914,2192
914,2193
912,2195
913,2195
912,2197
1439,2270
913,2197
1143,2215
1394,2251
1405,2253
1405,2254
283,2117
288,2121
288,2122
289,2122
288,2124
1405,2255
1405,2256
1405,2258
288,2125
288,2130
288,2131
289,2131
288,2132
289,2132
1405,2259
1405,2260
1405,2261
1405,2262
1405,2263
1405,2264
1439,2267
1439,2268
1440,2268
1439,2271
1440,2271
1439,2272
1816,2312
1440,2272
1816,2310
1816,2311
1817,2311
1816,2313
1816,2314
1817,2314
1816,2315
2186,2316
1817,2315
2186,2317
2186,2318
2186,2319
2186,2321
2186,2322
2186,2323
2186,2324
2186,2326
2186,2327
2186,2328
2232,2331
2232,2332
2232,2333
2232,2334
2232,2336
2232,2337
2232,2338
2232,2339
2232,2341
2232,2342
2232,2343
2235,2346
2237,2347
2237,2348
2238,2348
2237,2349
2237,2350
2237,2351
2238,2351
2237,2352
3381,2466
2238,2352
2664,2383
2664,2385
2665,2385
2666,2386
2666,2387
2666,2388
2666,2389
2664,2391
2664,2392
2666,2393
2666,2394
2666,2395
2666,2396
2666,2398
2666,2399
2739,2401
2664,2403
2665,2403
2666,2404
2664,2406
3381,2467
2665,2406
3030,2421
3030,2422
3031,2422
3030,2423
3030,2424
3030,2426
3031,2426
3030,2427
3382,2467
3031,2427
3048,2428
3048,2429
3048,2430
3048,2431
3048,2433
3048,2434
3048,2435
3048,2436
3048,2438
3048,2439
3048,2441
3252,2452
3381,2468
3381,2469
3381,2471
3382,2471
3381,2472
3703,2497
3382,2472
3392,2473
3392,2474
3392,2475
3392,2476
3392,2478
3392,2479
3392,2480
3392,2481
3392,2483
3392,2484
3392,2485
3911,2511
3911,2512
3912,2512
3911,2514
3911,2515
3911,2516
3912,2516
3911,2517
3912,2517
3929,2518
3929,2519
3929,2520
3929,2521
3929,2523
3929,2524
3929,2525
3929,2526
3929,2528
3929,2529
3929,2531
4271,2542
4454,2557
4454,2558
4454,2559
4454,2560
4454,2562
4463,2563
4463,2564
4464,2564
4454,2565
4454,2566
4454,2567
4454,2569
4454,2570
4463,2571
4463,2572
4454,2573
4463,2576
4464,2576
4463,2577
4464,2577
4700,2581
4989,2602
4989,2603
4989,2604
4994,2605
4994,2606
4995,2606
4989,2607
4989,2609
4994,2610
4994,2611
4989,2612
4989,2613
4989,2614
4989,2616
4989,2617
4989,2618
4994,2621
4995,2621
4994,2622
4995,2622
5329,2634
5995,2723
5995,2724
5995,2725
5995,2726
5995,2728
5995,2729
5995,2730
5995,2731
6015,2733
5995,2734
6015,2735
5995,2736
6016,2735
6015,2737
6015,2738
5995,2739
6015,2742
6016,2742
6015,2744
5442,2677
5442,2678
5443,2678
5442,2679
5442,2680
5442,2682
5443,2682
5442,2683
5443,2683
5507,2684
5507,2685
5507,2686
5507,2687
5507,2689
5507,2690
5507,2691
5507,2692
6016,2744
6171,2750
5507,2694
5507,2695
5507,2697
5816,2708
