id,owner_id,name,type,created_at
5077,5826,Test Space,business,Tue Apr 21 2026 10:31:47 GMT+0300 (Moscow Standard Time)
91,101,My Space,business,Thu Apr 16 2026 20:21:12 GMT+0300 (Moscow Standard Time)
94,105,Get Space,business,Thu Apr 16 2026 20:21:13 GMT+0300 (Moscow Standard Time)
97,111,My Space,business,Thu Apr 16 2026 20:21:21 GMT+0300 (Moscow Standard Time)
100,115,Get Space,business,Thu Apr 16 2026 20:21:22 GMT+0300 (Moscow Standard Time)
103,122,My Space,business,Thu Apr 16 2026 20:21:40 GMT+0300 (Moscow Standard Time)
92,102,New Space,business,Thu Apr 16 2026 20:21:13 GMT+0300 (Moscow Standard Time)
95,107,New Name,business,Thu Apr 16 2026 20:21:13 GMT+0300 (Moscow Standard Time)
98,112,New Space,business,Thu Apr 16 2026 20:21:22 GMT+0300 (Moscow Standard Time)
101,117,New Name,business,Thu Apr 16 2026 20:21:22 GMT+0300 (Moscow Standard Time)
104,123,Personal Space,personal,Thu Apr 16 2026 20:21:41 GMT+0300 (Moscow Standard Time)
106,126,Dashboard Space,business,Thu Apr 16 2026 20:21:41 GMT+0300 (Moscow Standard Time)
108,129,New Name,business,Thu Apr 16 2026 20:21:42 GMT+0300 (Moscow Standard Time)
110,132,Personal Space,personal,Thu Apr 16 2026 20:21:42 GMT+0300 (Moscow Standard Time)
5100,5851,Test Space,business,Tue Apr 21 2026 10:32:23 GMT+0300 (Moscow Standard Time)
5134,5884,Test Space,business,Tue Apr 21 2026 10:32:23 GMT+0300 (Moscow Standard Time)
5157,5910,Test Space,business,Tue Apr 21 2026 10:32:25 GMT+0300 (Moscow Standard Time)
5170,5925,Personal Space,personal,Tue Apr 21 2026 10:32:27 GMT+0300 (Moscow Standard Time)
5180,5936,Test Space,business,Tue Apr 21 2026 10:32:28 GMT+0300 (Moscow Standard Time)
5187,5943,Test Space,business,Tue Apr 21 2026 10:32:29 GMT+0300 (Moscow Standard Time)
